,Event Type,Event Value,ImageID,ExpectedResp,Correct? (1 = M/Diff),,,
0,Sync Time,1.5007907480030553,,,,,,
1,Stim 0 Onset,14.567794116999721,,,,,,"1 - MAle , 2 - female"
2,Button Pressed,1,15 (HAP_M25),1,1,,,"1-different, 2 - Same"
3,Stim 1 Onset,16.564655485999538,,,,,,
4,Button Pressed,2,28 (FEA_F31),2,1,,,
5,Stim 2 Onset,18.564578391989926,,,,,,
6,Button Pressed,2,12 (FEA_F29),2,1,,,
7,Stim 3 Onset,20.56507071800297,,,,,,
8,Button Pressed,1,26 (NEU_M29),1,1,,,
9,Stim 0 Onset,27.567903781993664,,,,,,
10,Bar Orientation,3,sameOri,,,,,
11,Button Pressed,2,,2,1,,,
12,Stim 1 Onset,29.564412038002047,,,,,,
13,Bar Orientation,1,diffOri,1,,,,
14,Button Pressed,1,,,1,,,
15,Stim 2 Onset,31.56462940000347,,,,,,
16,Bar Orientation,1,,,,,,
17,Button Pressed,1,diffOri,1,1,,,
18,Stim 3 Onset,33.56438599000103,,,,,,
19,Bar Orientation,0,diffOri,,,,,
20,Button Pressed,1,,1,1,,,
21,Stim 0 Onset,40.56802671100013,,,,,,
22,Button Pressed,2,19 (NEU_F13),2,1,,,
23,Stim 1 Onset,42.56471908399544,,,,,,
24,Button Pressed,1,32 (FEA_M09),1,1,,,
25,Stim 2 Onset,44.564393722001114,,,,,,
26,Button Pressed,1,13 (HAP_M22),1,1,,,
27,Stim 3 Onset,46.56443281300017,,,,,,
28,Button Pressed,1,9 (HAP_M03),1,1,,,
29,Stim 0 Onset,53.567938439999125,,,,,,
30,Bar Orientation,1,diffOri,,1,,,
31,Button Pressed,1,,1,,,,
32,Stim 1 Onset,55.56439046000014,,,,,,
33,Bar Orientation,1,diffOri,1,1,,,
34,Button Pressed,1,,,,,,
35,Stim 2 Onset,57.56438295,,,,,,
36,Bar Orientation,1,,,,,,
37,Button Pressed,1,diffOri,1,1,,,
38,Stim 3 Onset,59.56444203799765,,,,,,
39,Bar Orientation,2,sameOri,2,1,,,
40,Button Pressed,2,,,,,,
41,Stim 0 Onset,66.56789027000195,14 (HAP_M23),NR,0,,,
42,Stim 1 Onset,68.56471821799641,,,,,,
43,Button Pressed,1,,,,,,
44,Button Pressed,2,30 (FEA_F35),2,1,,,
45,Stim 2 Onset,70.56484502599051,,,,,,
46,Button Pressed,2,2 (FEA_M11),1,0,,,
47,Stim 3 Onset,72.56458956799179,,,,,,
48,Button Pressed,1,4 (HAP_F02),2,0,,,
49,Stim 0 Onset,79.56801471998915,,,,,,
50,Bar Orientation,1,diffOri,1,0,,,
51,Stim 1 Onset,81.56447771500098,,,,,,
52,Bar Orientation,0,diffOri,,,,,
53,Button Pressed,1,,1,1,,,
54,Button Pressed,1,,,,,,
55,Stim 2 Onset,83.56451751998975,,,,,,
56,Bar Orientation,1,diffOri,1,,,,
57,Button Pressed,1,,,1,,,
58,Stim 3 Onset,85.56448804699176,,,,,,
59,Bar Orientation,2,sameOri,,,,,
60,Button Pressed,2,,2,1,,,
61,Stim 0 Onset,92.56780580600025,,,,,,
62,Button Pressed,2,20 (NEU_F20),2,1,,,
63,Stim 1 Onset,94.56445908099704,,,,,,
64,Button Pressed,2,18 (NEU_F07),2,1,,,
65,Stim 2 Onset,96.56439352099551,,,,,,
66,Button Pressed,1,22 (NEU_M17),1,1,,,
67,Stim 3 Onset,98.56466957199154,,,,,,
68,Button Pressed,2,8 (HAP_F19),2,1,,,
69,Stim 0 Onset,105.56795081599557,,,,,,
70,Bar Orientation,2,sameOri,,1,,,
71,Button Pressed,2,,2,,,,
72,Stim 1 Onset,107.56446613399021,,,,,,
73,Bar Orientation,0,diffOri,,,,,
74,Button Pressed,1,,1,1,,,
75,Stim 2 Onset,109.56476147199282,,,,,,
76,Bar Orientation,3,sameOri,,,,,
77,Button Pressed,2,,2,1,,,
78,Stim 3 Onset,111.56474398799764,,,,,,
79,Bar Orientation,1,diffOri,1,1,,,
80,Button Pressed,1,,,,,,
81,Stim 0 Onset,118.56642353699135,25 (NEU_M24),NR,0,,,
82,Stim 1 Onset,120.5644719319971,,,,,,
83,Button Pressed,1,,,,,,
84,Button Pressed,2,1 (FEA_F09),2,1,,,
85,Stim 2 Onset,122.5645457990031,,,,,,
86,Button Pressed,1,10 (HAP_M05),1,1,,,
87,Stim 3 Onset,124.56470563999028,,,,,,
88,Button Pressed,1,3 (FEA_M12),1,1,,,
89,Stim 0 Onset,131.5677749739989,,,,,,
90,Bar Orientation,3,sameOri,,,,,
91,Button Pressed,2,,2,1,,,
92,Stim 1 Onset,133.56462198199006,,,,,,
93,Bar Orientation,0,diffOri,,,,,
94,Button Pressed,1,,1,1,,,
95,Stim 2 Onset,135.56455929699587,,,,,,
96,Bar Orientation,2,sameOri,,,,,
97,Button Pressed,1,,2,0,,,
98,Stim 3 Onset,137.5645999039989,,,,,,
99,Bar Orientation,1,diffOri,,,,,
100,Button Pressed,1,,1,1,,,
101,Stim 0 Onset,144.56776586099295,,,,,,
102,Button Pressed,2,5 (HAP_F03),2,1,,,
103,Stim 1 Onset,146.5644655,,,,,,
104,Button Pressed,2,6 (HAP_F11),2,1,,,
105,Stim 2 Onset,148.56472024098912,,,,,,
106,Button Pressed,1,27 (NEU_M31),1,1,,,
107,Stim 3 Onset,150.5644767670019,,,,,,
108,Button Pressed,2,16 (NEU_F01),2,1,,,
109,Stim 0 Onset,157.5683313949994,,,,,,
110,Bar Orientation,2,sameOri,,,,,
111,Button Pressed,2,,2,1,,,
112,Stim 1 Onset,159.5645256,,,,,,
113,Bar Orientation,2,sameOri,2,,,,
114,Button Pressed,2,,,1,,,
115,Stim 2 Onset,161.56471493799472,,,,,,
116,Bar Orientation,3,sameOri,,,,,
117,Button Pressed,2,,2,1,,,
118,Stim 3 Onset,163.56470461699064,,,,,,
119,Bar Orientation,2,sameOri,,,,,
120,Button Pressed,2,,2,1,,,
121,Stim 0 Onset,170.5677904549957,11 (HAP_M06),NR,0,,,
122,Stim 1 Onset,172.56444498099154,,,,,,
123,Button Pressed,2,23 (FEA_F30),2,1,,,
124,Stim 2 Onset,174.56459390099917,,,,,,
125,Button Pressed,1,24 (NEU_M18),1,1,,,
126,Stim 3 Onset,176.56465237299562,,,,,,
127,Button Pressed,2,29 (FEA_F33),2,1,,,
128,Stim 0 Onset,183.5676859,,,,,,
129,Bar Orientation,0,diffOri,1,1,,,
130,Button Pressed,1,,,,,,
131,Stim 1 Onset,185.5646262849914,,,,,,
132,Bar Orientation,0,diffOri,,,,,
133,Button Pressed,1,,1,1,,,
134,Stim 2 Onset,187.56472749999375,,,,,,
135,Bar Orientation,1,diffOri,1,,,,
136,Button Pressed,1,,,1,,,
137,Stim 3 Onset,189.56439963499724,,,,,,
138,Bar Orientation,0,diffOri,1,1,,,
139,Button Pressed,1,,,,,,
140,Stim 0 Onset,196.56788552099897,,,,,,
141,Button Pressed,2,21 (NEU_M13),1,0,,,
142,Stim 1 Onset,198.56495507399086,7 (HAP_F16),NR,0,,,
143,Stim 2 Onset,200.5646630919946,,,,,,
144,Button Pressed,2,,,,,,
145,Button Pressed,1,31 (FEA_M08),1,1,,,
146,Stim 3 Onset,202.564419,,,,,,
147,Button Pressed,1,17 (NEU_F05),2,0,,,
148,Stim 0 Onset,209.56798138699378,,,,,,
149,Bar Orientation,0,diffOri,1,0,,,
150,Button Pressed,2,,,,,,
151,Stim 1 Onset,211.56480234999617,,,,,,
152,Bar Orientation,1,diffOri,,,,,
153,Button Pressed,1,,1,1,,,
154,Stim 2 Onset,213.56451624300098,,,,,,
155,Bar Orientation,3,sameOri,,,,,
156,Button Pressed,2,,2,1,,,
157,Stim 3 Onset,215.56470810298924,,,,,,
158,Bar Orientation,0,diffOri,,,,,
159,Button Pressed,1,,1,1,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,accuracy,,82.8125,,,
